DoctorID,OrderID,OrderNum,Condition A,Condition B,Condition C,Condition D,Condition F,Condition G,Condition H,Condition I,Condition J
ABJEAI,DGEJFDC,AIBEHCJ,False,False,False,False,False,True,True,False,Before
HBIEA,DGAJDAH,AIJIHGB,False,True,,False,False,True,False,True,Before
GGCCD,DGBBDCB,AFEIHFB,False,False,False,False,False,False,False,False,
EHHGF,DGCDCCF,AIBJJEE,False,False,False,True,False,False,True,False,Before
EHHGF,DGCFAGC,AEDBBDC,False,False,False,False,False,False,False,False,
EHHGF,DGDBJJC,AFIEHAA,False,False,False,False,False,False,False,False,
EHHGF,DHJCDJF,ABJEJHJ,False,True,False,False,False,False,False,False,
FCBDC,DGAIAHJ,AADBICE,False,False,,False,False,False,False,False,
AABDHC,DEHCIAA,AHEIDCG,False,False,False,False,False,False,True,False,Before
BCFJAB,DEIIFJB,AHFEGEI,False,False,False,False,False,False,True,False,Before
BCFJAB,DEIIFJB,AHFEGEI,False,False,False,True,False,False,True,False,Before
ACBGIB,DGDCCIH,AFHBJBH,False,False,False,False,False,False,False,False,
BJDFFJ,DGIBHCH,AEIAAAI,False,False,False,False,False,False,False,False,After
FDHGC,DGJBGBE,AIJFCGE,True,True,False,False,False,False,True,False,Before
FDHGC,DGADCHE,AIAADHI,False,False,True,True,False,False,True,True,Before
FDHGC,DGAHEIH,AIACCCB,False,False,False,False,False,True,True,False,Before
FDHGC,DGCBJJD,AIAIJEH,False,False,False,False,False,False,True,False,Before
FDHDI,DGCEAED,AIBJDID,False,False,False,False,False,False,True,False,Before
FDHDI,DGCIIEC,AFFACIC,False,False,False,False,False,False,False,False,
FDHDI,DGCIIHI,ADGHAJE,False,True,False,False,False,False,False,False,
FDHDI,DGDCHJD,ACAHCDF,False,False,False,False,False,False,False,False,
FDHDI,DGDCIAC,AFEAAGE,False,False,False,False,False,False,False,False,
FDHDI,DGEEFEB,AIBGFDI,True,True,True,True,False,False,False,False,Before
FDHDI,DGEHDIH,AEJDADB,False,True,False,True,False,False,False,False,
FDHDI,DGFFAJJ,AFFACIC,False,False,,False,,,True,False,
GHDFB,DFECJJC,AHHFFCA,False,False,True,True,False,True,True,False,Before
GHDFB,DGEJIBB,AIBEIEJ,False,False,False,False,False,False,False,True,Before
GHDFB,DGIJDEA,AEAHFFG,False,False,False,False,False,False,False,False,
GHDFB,DHJDBAF,AEJCHCH,False,True,False,False,False,False,False,False,
ADGAIC,DFJJGIH,AHFFBHA,False,False,False,False,False,False,False,False,Before
FAHDI,DFBAGFE,AHGDCHB,False,False,True,True,False,False,False,False,Before
FAHDI,DFECBIH,AHHFGGH,False,False,True,False,False,True,True,False,Before
FAHDI,DFFADBA,AHIJCBE,False,False,False,False,False,True,True,False,Before
FAHDI,DFFDCDI,AHIAEJJ,False,False,True,False,False,True,True,False,Before
FAHDI,DFFDFDC,AHIAFFG,False,False,True,False,False,False,True,False,Before
FAHDI,DGJBHBF,AIJFCGA,False,True,True,False,False,False,True,False,Before
FAHDI,DGAHGAD,AFEAIBH,False,False,False,False,False,False,True,False,
FAHDI,DGAHHED,ABIHDHH,False,False,True,True,False,False,False,False,
FAHDI,DGAIDAB,AADBFJB,False,False,False,False,False,False,False,False,
FAHDI,DGBHAJC,AIAGFJD,False,False,True,False,False,False,False,False,Before
FAHDI,DGDEBIH,ADDABFE,False,False,True,True,False,True,False,False,
FAHDI,DGDECJH,FAHJHE,False,False,False,False,False,False,False,False,
FAHDI,DGDIFEH,AFIJDDJ,False,False,False,False,False,False,False,False,
FAHDI,DGFJEBH,AIBIDBJ,False,False,False,False,False,False,False,False,Before
FAHDI,DGFJFFC,AIBIDEH,False,True,False,False,False,False,False,False,Before
FAHDI,DGFFEIH,ABFFFIB,False,False,False,False,False,False,False,False,
FAHDI,DGFGAGD,AFBIFFI,False,False,True,True,False,False,False,False,
BJBFJC,DGAGFDB,AGCEAIJ,True,False,False,False,False,False,False,False,
